"","obj_1_wt","obj_2_wt","obj_3_wt","sdr_1","awy_1","spatial_inputs","budget_level","AWY_1_agg_delta_rel","SDE_2_agg_delta_rel","SDL_3_agg_delta_rel","obj_wtd_agg_delta_rel","AWY_1_rast_delta_rel","SDE_2_rast_delta_rel","SDL_3_rast_delta_rel","obj_wtd_rast_delta_rel","AWY_1_pix_ave_delta_rel","SDE_2_pix_ave_delta_rel","SDL_3_pix_ave_delta_rel","obj_wtd_pix_ave_delta_rel","AWY_1_agg_delta_abs","SDE_2_agg_delta_abs","SDL_3_agg_delta_abs","obj_wtd_agg_delta_abs","AWY_1_rast_delta_abs","SDE_2_rast_delta_abs","SDL_3_rast_delta_abs","obj_wtd_rast_delta_abs","AWY_1_pix_ave_delta_abs","SDE_2_pix_ave_delta_abs","SDL_3_pix_ave_delta_abs","obj_wtd_pix_ave_delta_abs","agroforestry_frac_area","reforestation_frac_area","road_mitigation_frac_area","grass_strips_frac_area","riparian_mgmt_frac_area","terracing_frac_area","agroforestry_frac_alloc","reforestation_frac_alloc","road_mitigation_frac_alloc","grass_strips_frac_alloc","riparian_mgmt_frac_alloc","terracing_frac_alloc","agroforestry_npix","reforestation_npix","road_mitigation_npix","grass_strips_npix","riparian_mgmt_npix","terracing_npix","agroforestry_budg","reforestation_budg","road_mitigation_budg","grass_strips_budg","riparian_mgmt_budg","terracing_budg","port_rast","lulc_w_port"
"1",0,0,1,0.5,1,"A",1e+06,0.138307905057445,0.510591484373435,0.591501674149185,0.177790499059483,"fake_raster1.tif","fake_raster1.tif","fake_raster1.tif","fake_raster1.tif",0.0743376156315207,0.373774550156668,0.996263082837686,0.630978742614388,68.7691893195733,68.2768184924498,68.5189590789378,93.824560334906,"fake_raster1.tif","fake_raster1.tif","fake_raster1.tif","fake_raster1.tif",98.1660921592265,32.0022579515353,3.96599085070193,84.6001340774819,0.762708581518382,0.579055481124669,0.757120464928448,0.794681614264846,0.676984152989462,0.585807833820581,0.315954505000263,0.808745881309733,0.95747815980576,0.71517223236151,0.811662409454584,0.939273006748408,71.3168460642919,14.8155630100518,4.3260081904009,84.8425878677517,9.05010560527444,15.3690686449409,57.3503838619217,36.8238296126947,57.0105471648276,12.8128665499389,49.9770798021927,12.2194016352296,"fake_raster1.tif","fake_raster1.tif"
"2",0.25,0,0.75,0.5,1,"A",1e+06,0.412444317247719,0.566362579353154,0.820330092450604,0.150161781348288,"fake_raster1.tif","fake_raster1.tif","fake_raster1.tif","fake_raster1.tif",0.73973177280277,0.162057781359181,0.625778359360993,0.208173457998782,36.7220461368561,88.4482878958806,26.1651734588668,65.6338612316176,"fake_raster1.tif","fake_raster1.tif","fake_raster1.tif","fake_raster1.tif",60.1400295039639,48.7236722605303,75.6312722805887,95.5093743978068,0.898719873512164,0.0665527861565351,0.398872782476246,0.794014558661729,0.850938764866441,0.979085102444515,0.481681786244735,0.808805155567825,0.769569923868403,0.558612982043996,0.997654042672366,0.375435482477769,35.2208164986223,84.9101128522307,18.491490976885,88.8588085770607,90.2034120634198,61.1042087431997,49.9097821768373,24.0777892293409,22.8701233165339,27.3413836490363,93.2754877023399,5.35413108300418,"fake_raster1.tif","fake_raster1.tif"
"3",0.5,0,0.5,0.5,1,"A",1e+06,0.200016663875431,0.241753322305158,0.229724591597915,0.832204986829311,"fake_raster1.tif","fake_raster1.tif","fake_raster1.tif","fake_raster1.tif",0.179429925512522,0.311492713168263,0.383929941570386,0.637174169765785,44.5287418784574,77.3549554403871,85.7742458349094,45.0419678585604,"fake_raster1.tif","fake_raster1.tif","fake_raster1.tif","fake_raster1.tif",13.5828039608896,66.4590776665136,30.3178985370323,91.0467858426273,0.725243213586509,0.860353366937488,0.316060511395335,0.0527511066757143,0.526664171367884,0.334821467287838,0.559172115521505,0.059118959819898,0.572298216400668,0.35529852216132,0.169822341296822,0.0853277002461255,79.4014679500833,26.8774406751618,78.0323097249493,88.888889667578,32.1499475510791,34.4757814193144,96.8755016569048,77.364394068718,62.4596089590341,81.0240552760661,15.7224101945758,68.3217566926032,"fake_raster1.tif","fake_raster1.tif"
"4",0.75,0,0.25,0.5,1,"A",1e+06,0.566157760564238,0.806681188754737,0.334184216568246,0.491230892483145,"fake_raster1.tif","fake_raster1.tif","fake_raster1.tif","fake_raster1.tif",0.110565300099552,0.744531085016206,0.587674793088809,0.668802998727188,35.0926451152191,4.28605757188052,27.5262832641602,20.0332650216296,"fake_raster1.tif","fake_raster1.tif","fake_raster1.tif","fake_raster1.tif",85.4688995983452,2.86194905638695,80.7284696726128,39.386712689884,0.586756911128759,0.698284520069137,0.940978239988908,0.72990212123841,0.999832604778931,0.811410818947479,0.211731975665316,0.0521036225836724,0.979933939408511,0.916601703967899,0.989363096654415,0.0122369003947824,47.5581843173131,30.1727715879679,16.9003875693306,69.593486818485,79.1513483272865,67.0291244983673,65.5239303596318,99.6067861793563,54.3882380006835,97.7425034856424,79.4628444127738,13.6768140597269,"fake_raster1.tif","fake_raster1.tif"
"5",1,0,0,0.5,1,"A",1e+06,0.24216770613566,0.10957878199406,0.636480867862701,0.993958666687831,"fake_raster1.tif","fake_raster1.tif","fake_raster1.tif","fake_raster1.tif",0.203856135020033,0.307062841020525,0.147073884028941,0.438354200217873,33.0122504616156,86.0592401819304,89.5176489837468,76.4141821535304,"fake_raster1.tif","fake_raster1.tif","fake_raster1.tif","fake_raster1.tif",73.1203800532967,26.6584345139563,84.1307762777433,47.5950015243143,0.426672941539437,0.59403767529875,0.975828915834427,0.641212680842727,0.316771196201444,0.978757630102336,0.776370134204626,0.221719643333927,0.698021145071834,0.0374081851914525,0.41687606391497,0.397910207509995,85.3744757827371,81.2866710592061,35.9245168743655,26.0597068816423,71.0021365666762,48.7827299395576,34.3497309368104,55.9939812170342,27.2688328055665,55.4025881923735,88.5469447588548,73.846845375374,"fake_raster1.tif","fake_raster1.tif"
"6",0,0.25,0.75,0.5,1,"A",1e+06,0.490778623148799,0.694312900304794,0.366640124004334,0.584271165542305,"fake_raster1.tif","fake_raster1.tif","fake_raster1.tif","fake_raster1.tif",0.175536490045488,0.341098385397345,0.284549535950646,0.936269166879356,47.8638018947095,33.8100717402995,75.8028307696804,48.2591026229784,"fake_raster1.tif","fake_raster1.tif","fake_raster1.tif","fake_raster1.tif",39.636401552707,51.4828878454864,89.0368913300335,67.7801755955443,0.0888187303207815,0.0426639611832798,0.416278957389295,0.800653312588111,0.498726241057739,0.553086211206391,0.0989491317886859,0.55940054403618,0.869587889173999,0.185662927804515,0.152859166963026,0.236863424768671,37.8366099437699,29.2269856436178,13.3479702984914,69.6258669020608,83.1511436728761,63.4275831514969,84.871291834861,56.0873196460307,14.8805176140741,91.1294708494097,16.8441368965432,38.7301450129598,"fake_raster1.tif","fake_raster1.tif"
"7",0.25,0.25,0.5,0.5,1,"A",1e+06,0.0206760047003627,0.191785907140002,0.868569985963404,0.420880909310654,"fake_raster1.tif","fake_raster1.tif","fake_raster1.tif","fake_raster1.tif",0.35991318244487,0.24131520325318,0.691277209669352,0.133358942344785,88.1584526738152,34.414556180127,84.8792052827775,32.3811401613057,"fake_raster1.tif","fake_raster1.tif","fake_raster1.tif","fake_raster1.tif",84.5692499540746,42.6532085984945,84.5096836332232,46.5175221441314,0.00417591142468154,0.255801715888083,0.00504558277316391,0.923785421997309,0.449720846256241,0.825812268769369,0.897241107886657,0.339940918842331,0.108295894926414,0.745286186691374,0.206670171115547,0.137893805047497,79.3984246905893,6.36572928633541,38.4575745090842,35.4768747463822,27.6544823311269,9.07822733279318,57.6462435536087,95.6396443070844,25.5708844866604,21.9682279974222,18.2896396843717,91.6764303343371,"fake_raster1.tif","fake_raster1.tif"
"8",0.5,0.25,0.25,0.5,1,"A",1e+06,0.411267342278734,0.428323535714298,0.339942160295323,0.993737270357087,"fake_raster1.tif","fake_raster1.tif","fake_raster1.tif","fake_raster1.tif",0.223607399268076,0.343174066627398,0.0919098181184381,0.549860125174746,4.58028591237962,57.3531444650143,20.2565233921632,11.6939071100205,"fake_raster1.tif","fake_raster1.tif","fake_raster1.tif","fake_raster1.tif",38.9585520606488,88.2514890981838,63.8280340237543,60.3501216275617,0.0700782001949847,0.786390989553183,0.0150652169249952,0.00479625049047172,0.669374542078003,0.417905964422971,0.305833104997873,0.36295203352347,0.387506242608652,0.287621393566951,0.919096985366195,0.455480630975217,52.9781144345179,12.3429862083867,51.7966700019315,81.2359450850636,85.1857449859381,94.0221317112446,61.9437645887956,7.18208074104041,14.7782527375966,53.9464588277042,53.8444502046332,54.3455080129206,"fake_raster1.tif","fake_raster1.tif"
"9",0.75,0.25,0,0.5,1,"A",1e+06,0.0592955132015049,0.718658965779468,0.870758139062673,0.437493329169229,"fake_raster1.tif","fake_raster1.tif","fake_raster1.tif","fake_raster1.tif",0.61674380954355,0.561013883678243,0.427809041924775,0.676463060081005,72.2977753961459,87.8564514918253,1.19076301343739,85.8733999775723,"fake_raster1.tif","fake_raster1.tif","fake_raster1.tif","fake_raster1.tif",78.6204401869327,43.9907517051324,5.30391440261155,12.234517885372,0.879770620493218,0.919759220909327,0.843884338857606,0.766658453037962,0.934516760520637,0.265674370341003,0.84560280200094,0.427708131494001,0.96715358318761,0.878872266970575,0.916888881474733,0.154355296865106,38.8930650427938,92.6309664268047,3.80806608591229,9.55518642440438,20.0574583839625,11.3721732515842,41.6003184160218,76.1787528637797,33.9891497744247,14.9211807642132,60.3207202861086,69.2369646392763,"fake_raster1.tif","fake_raster1.tif"
"10",0,0.5,0.5,0.5,1,"A",1e+06,0.689909282373264,0.11840631859377,0.517544313101098,0.0503521459177136,"fake_raster1.tif","fake_raster1.tif","fake_raster1.tif","fake_raster1.tif",0.116330188931897,0.742451119236648,0.00830021779984236,0.146159748313949,13.6121733812615,99.3737482698634,53.6097435979173,46.4444888755679,"fake_raster1.tif","fake_raster1.tif","fake_raster1.tif","fake_raster1.tif",99.4441949063912,34.0333187486976,67.8766981931403,55.6921525625512,0.431267397478223,0.241005123825744,0.596343903103843,0.314845441607758,0.731647663516924,0.609209654387087,0.0378580854739994,0.472452058922499,0.85018324595876,0.855878431582823,0.0454373606480658,0.550517756026238,64.2814348917454,73.3183688949794,47.1337789436802,86.4925086731091,10.5775487143546,21.7676518717781,56.097995210439,48.051425954327,50.240873452276,47.3630428081378,2.8329532360658,1.86446704901755,"fake_raster1.tif","fake_raster1.tif"
